#TAG,NAME IN REPO (or git url),PURPOSE
#--X programs--#
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xwallpaper,"sets the wallpaper."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
#--Suckless programs--#
,dunst,"is a suckless notification system."
G,https://github.com/vladdoster/st.git,"is my custom build of suckless's terminal emulator."
#--i3 & desktop programs--#
,i3-gaps,"is the main graphical user interface and window manager."
,i3lock-color,"allows you to lock your computer, and quickly unlock with your password."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used."
,libnotify,"allows desktop notifications."
A,polybar,"is a status bar for i3"
,unclutter,"hides an inactive mouse."
,xcape,"gives the special escape/super mappings."
,maim,"can take quick screenshots at your request."
#--Terminal related--#
,tmux,"is a terminal multiplexer and the dropdown window."
,calcurse,"is a lightweight terminal-based calendar."
,neovim,"a tidier vim with some useful features"
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
G,https://github.com/vladdoster/dmenu.git,"runs commands and provides a UI for selection."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
,lshw,"is small tool to provide detailed information on the hardware configuration of the machine."
#--Fonts--#
,adobe-source-code-pro-fonts,"is the main font used system wide"
,noto-fonts-emoji,"is an emoji font."
#--Networking--#
,networkmanager,"does exactly what it sounds like."
,socat,"is a socket utility."
#--Personal--#
,docker,"is a way to pack, ship and run any application as a lightweight container."
,docker-compose,"allows for fast, isolated development environments using Docker"
,nautilus,"is a GUI file browser."
A,code, "is a multi-language IDE by Microsoft."
A,discord, "is a program to connect gamers."
A,pycharm-professional,"is a Python IDE"
A,google-chrome,"is the only program in here your girlfriend has ever heard of."
A,slack-desktop, "is program to connect coworkers"
A,spotify, "is music streaming platform"
#--Accessing filesystems--#
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs-git,"enables the mounting of cell phones."
#--File info/unpacking--#
,unrar,"extracts rar's."
,unzip,"unzips zips."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
#--Misc.--#
,bc,"is used for a dropdown calculator."
,sxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,alsa-utils,"is an audio interface for ALSA."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
